player1 | 1170 | Level 2 | 2025-10-22 18:39:07
player1 | 1180 | Level 2 | 2025-10-22 18:39:07
player1 | 1190 | Level 2 | 2025-10-22 18:39:07
player1 | 1200 | Level 2 | 2025-10-22 18:39:07
player1 | 1210 | Level 2 | 2025-10-22 18:39:07
player1 | 1220 | Level 2 | 2025-10-22 18:39:07
player1 | 1230 | Level 2 | 2025-10-22 18:39:07
player1 | 1240 | Level 2 | 2025-10-22 18:39:08
player1 | 1250 | Level 2 | 2025-10-22 18:39:08
player1 | 1260 | Level 2 | 2025-10-22 18:39:08
player1 | 1270 | Level 2 | 2025-10-22 18:39:08
player1 | 1280 | Level 2 | 2025-10-22 18:39:08
player1 | 1290 | Level 2 | 2025-10-22 18:39:08
player1 | 1300 | Level 2 | 2025-10-22 18:39:08
player1 | 1310 | Level 2 | 2025-10-22 18:39:08
player1 | 1320 | Level 2 | 2025-10-22 18:39:09
player1 | 1330 | Level 2 | 2025-10-22 18:39:09
player1 | 1340 | Level 2 | 2025-10-22 18:39:09
player1 | 1350 | Level 2 | 2025-10-22 18:39:09
player1 | 1360 | Level 2 | 2025-10-22 18:39:09
player1 | 1370 | Level 2 | 2025-10-22 18:39:09
player1 | 1380 | Level 2 | 2025-10-22 18:39:09
player1 | 1390 | Level 2 | 2025-10-22 18:39:09
player1 | 1400 | Level 2 | 2025-10-22 18:39:09
player1 | 1410 | Level 2 | 2025-10-22 18:39:10
player1 | 1420 | Level 2 | 2025-10-22 18:39:10
player1 | 1430 | Level 2 | 2025-10-22 18:39:10
player1 | 1440 | Level 2 | 2025-10-22 18:39:10
player1 | 1450 | Level 2 | 2025-10-22 18:39:10
player1 | 1460 | Level 2 | 2025-10-22 18:39:10
player1 | 1470 | Level 2 | 2025-10-22 18:39:10
player1 | 1480 | Level 2 | 2025-10-22 18:39:10
player1 | 1490 | Level 2 | 2025-10-22 18:39:10
player1 | 1500 | Level 2 | 2025-10-22 18:39:11
player1 | 1510 | Level 2 | 2025-10-22 18:39:11
player1 | 1520 | Level 2 | 2025-10-22 18:39:11
player1 | 1530 | Level 2 | 2025-10-22 18:39:11
player1 | 1540 | Level 2 | 2025-10-22 18:39:11
